date,produce,weight
2014-07-16,lettuce,3
2014-07-16,lettuce,27.5
2014-07-16,parsley,1
2014-07-16,zucchini,0.5
2014-07-19,beets,2
2014-07-19,zucchini,1
2014-07-22,basil,2
2014-07-22,beans,8
2014-07-22,beets,24
2014-07-22,chard,6
2014-07-22,chives,2
2014-07-22,collards,8
2014-07-22,kale,7
2014-07-22,lettuce,3
2014-07-22,lettuce,35.5
2014-07-22,zucchini,4.5
2014-07-22,zucchini,8
2014-07-29,beans,2.5
2014-07-29,beets,2
2014-07-29,beets,7
2014-07-29,collards,7.5
2014-07-29,cucumbers,1
2014-07-29,cucumbers,9
2014-07-29,kale,3
2014-07-29,kale,7.5
2014-07-29,lettuce,2
2014-07-29,parsley,1
2014-07-29,plums,8.5
2014-07-29,zucchini,18
2014-08-05,basil,2
2014-08-05,beans,2
2014-08-05,beans,3.5
2014-08-05,beets,1.5
2014-08-05,chives,3
2014-08-05,cucumbers,10.5
2014-08-05,parsley,1
2014-08-05,squash,24
2014-08-05,tomatoes,3
2014-08-05,zucchini,1.5
2014-08-05,zucchini,2
2014-08-12,basil,2.5
2014-08-12,beans,3.5
2014-08-12,beets,14
2014-08-12,chard,3
2014-08-12,collards,5
2014-08-12,cucumbers,11
2014-08-12,herbs,1.5
2014-08-12,kale,4
2014-08-12,onions,8
2014-08-12,parsley,0.5
2014-08-12,rhubarb,15
2014-08-12,summer squash,8
2014-08-12,summer squash,19
2014-08-12,tomatoes,3
2014-08-12,zucchini,1
2014-08-12,zucchini,28
2014-08-19,basil,2.5
2014-08-19,beans,1
2014-08-19,beets,2.5
2014-08-19,beets,12
2014-08-19,collards,6
2014-08-19,cucumbers,2
2014-08-19,kale,1
2014-08-19,kale,7.5
2014-08-19,rhubarb,18
2014-08-19,tomatoes,12
2014-08-19,zucchini,3
2014-08-19,zucchini,25
2014-08-23,beets,5
2014-08-23,cucumbers,2.5
2014-08-23,tomatoes,1.5
2014-08-23,zucchini,6
2014-08-26,beans,1.5
2014-08-26,beans,5
2014-08-26,beets,1
2014-08-26,beets,16
2014-08-26,beets,21
2014-08-26,chard,5
2014-08-26,kale,7.5
2014-08-26,tomatoes,19
2014-08-26,winter squash,21
2014-08-26,winter squash,54
2014-08-30,cucumbers,1
2014-08-30,lettuce,8.5
2014-08-30,tomatoes,2
2014-08-30,winter squash,8
2014-09-02,basil,1
2014-09-02,beans,5
2014-09-02,beets,1.5
2014-09-02,chard,0.5
2014-09-02,collards,1
2014-09-02,collards,5
2014-09-02,cucumbers,2
2014-09-02,herbs,1
2014-09-02,kale,3
2014-09-02,kale,3.5
2014-09-02,lettuce,6
2014-09-02,lettuce,10
2014-09-02,lettuce,28
2014-09-02,parsley,1
2014-09-02,rhubarb,12
2014-09-02,tomatoes,27.5
2014-09-02,winter squash,29
2014-09-02,zucchini,4.5
2014-09-02,zucchini,9.5
2014-09-09,beans,15
2014-09-09,beets,25.5
2014-09-09,chives,6
2014-09-09,collards,1
2014-09-09,cucumbers,6
2014-09-09,kale,4
2014-09-09,kale,6
2014-09-09,lettuce,23
2014-09-09,tomatoes,17
2014-09-09,winter squash,23
2014-09-09,zucchini,107
2014-09-13,beets,11
2014-09-13,lettuce,7
2014-09-13,zucchini,5
2014-09-16,basil,0.5
2014-09-16,beans,0.5
2014-09-16,beets,26
2014-09-16,collards,1
2014-09-16,kale,8
2014-09-16,lettuce,6.5
2014-09-16,lettuce,10
2014-09-16,rhubarb,21
2014-09-16,tomatoes,15
2014-09-16,tomatoes,18.5
2014-09-16,winter squash,74
2014-09-16,zucchini,9
2014-09-16,zucchini,18.5
2014-09-20,beans,7
2014-09-20,beets,5
2014-09-20,chard,5
2014-09-20,collards,1
2014-09-20,kale,0.5
2014-09-20,kale,6
2014-09-20,winter squash,2
2014-09-20,zucchini,23
2014-09-23,beets,13
2014-09-23,chives,3
2014-09-23,kale,4.5
2014-09-23,tomatoes,33.5
2014-09-27,beets,5
2014-09-27,zucchini,2
2014-09-30,apples,2
2014-09-30,basil,3
2014-09-30,beans,2.5
2014-09-30,beets,6
2014-09-30,beets,8
2014-09-30,herbs,0.5
2014-09-30,kale,5
2014-09-30,tomatoes,9.5
2014-09-30,zucchini,5.5
2014-10-04,basil,0.5
2014-10-04,beans,3
2014-10-04,chard,3
2014-10-04,collards,5.5
2014-10-04,kale,2
2014-10-04,kale,2
2014-10-04,parsley,0.5
2014-10-04,tomatoes,6
2014-10-04,tomatoes,19.5
2014-10-04,zucchini,1.5
2014-10-07,parsley,1.5
2014-10-07,tomatoes,21.5
2014-10-14,herbs,1
2014-10-14,sage,0.5
